,Year,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Half-time Home Goals,Half-time Away Goals,RoundID,MatchID,Home Team Initials,Away Team Initials,Date,Time
0,1930.0,Group 1,Pocitos,Montevideo,France,4.0,1.0,Mexico,4444.0,3.0,0.0,201.0,1096.0,FRA,MEX,1930-07-13,15:00:00
1,1930.0,Group 4,Parque Central,Montevideo,USA,3.0,0.0,Belgium,18346.0,2.0,0.0,201.0,1090.0,USA,BEL,1930-07-13,15:00:00
2,1930.0,Group 2,Parque Central,Montevideo,Yugoslavia,2.0,1.0,Brazil,24059.0,2.0,0.0,201.0,1093.0,YUG,BRA,1930-07-14,12:45:00
3,1930.0,Group 3,Pocitos,Montevideo,Romania,3.0,1.0,Peru,2549.0,1.0,0.0,201.0,1098.0,ROU,PER,1930-07-14,14:50:00
4,1930.0,Group 1,Parque Central,Montevideo,Argentina,1.0,0.0,France,23409.0,0.0,0.0,201.0,1085.0,ARG,FRA,1930-07-15,16:00:00
5,1930.0,Group 1,Parque Central,Montevideo,Chile,3.0,0.0,Mexico,9249.0,1.0,0.0,201.0,1095.0,CHI,MEX,1930-07-16,14:45:00
6,1930.0,Group 2,Parque Central,Montevideo,Yugoslavia,4.0,0.0,Bolivia,18306.0,0.0,0.0,201.0,1092.0,YUG,BOL,1930-07-17,12:45:00
7,1930.0,Group 4,Parque Central,Montevideo,USA,3.0,0.0,Paraguay,18306.0,2.0,0.0,201.0,1097.0,USA,PAR,1930-07-17,14:45:00
8,1930.0,Group 3,Estadio Centenario,Montevideo,Uruguay,1.0,0.0,Peru,57735.0,0.0,0.0,201.0,1099.0,URU,PER,1930-07-18,14:30:00
9,1930.0,Group 1,Estadio Centenario,Montevideo,Chile,1.0,0.0,France,2000.0,0.0,0.0,201.0,1094.0,CHI,FRA,1930-07-19,12:50:00
10,1930.0,Group 1,Estadio Centenario,Montevideo,Argentina,6.0,3.0,Mexico,42100.0,3.0,1.0,201.0,1086.0,ARG,MEX,1930-07-19,15:00:00
11,1930.0,Group 2,Estadio Centenario,Montevideo,Brazil,4.0,0.0,Bolivia,25466.0,1.0,0.0,201.0,1091.0,BRA,BOL,1930-07-20,13:00:00
12,1930.0,Group 4,Estadio Centenario,Montevideo,Paraguay,1.0,0.0,Belgium,12000.0,1.0,0.0,201.0,1089.0,PAR,BEL,1930-07-20,15:00:00
13,1930.0,Group 3,Estadio Centenario,Montevideo,Uruguay,4.0,0.0,Romania,70022.0,4.0,0.0,201.0,1100.0,URU,ROU,1930-07-21,14:50:00
