,player_id,roundid,matchid,team_initials,coach_name,player_name
0,1,201,1096,FRA,CAUDRON Raoul (FRA),Alex THEPOT
1,2,201,1096,MEX,LUQUE Juan (MEX),Oscar BONFIGLIO
2,3,201,1096,FRA,CAUDRON Raoul (FRA),Marcel LANGILLER
3,4,201,1096,MEX,LUQUE Juan (MEX),Juan CARRENO
4,5,201,1096,FRA,CAUDRON Raoul (FRA),Ernest LIBERATI
5,6,201,1096,MEX,LUQUE Juan (MEX),Rafael GARZA
6,7,201,1096,FRA,CAUDRON Raoul (FRA),Andre MASCHINOT
7,8,201,1096,MEX,LUQUE Juan (MEX),Hilario LOPEZ
8,9,201,1096,FRA,CAUDRON Raoul (FRA),Etienne MATTLER
9,10,201,1096,MEX,LUQUE Juan (MEX),Dionisio MEJIA
10,11,201,1096,FRA,CAUDRON Raoul (FRA),Marcel PINEL
11,12,201,1096,MEX,LUQUE Juan (MEX),Felipe ROSAS
12,13,201,1096,FRA,CAUDRON Raoul (FRA),Alex VILLAPLANE
13,14,201,1096,MEX,LUQUE Juan (MEX),Manuel ROSAS
14,15,201,1096,FRA,CAUDRON Raoul (FRA),Lucien LAURENT
15,16,201,1096,MEX,LUQUE Juan (MEX),Jose RUIZ
16,17,201,1096,FRA,CAUDRON Raoul (FRA),Marcel CAPELLE
17,18,201,1096,MEX,LUQUE Juan (MEX),Alfredo SANCHEZ
18,19,201,1096,FRA,CAUDRON Raoul (FRA),Augustin CHANTREL
19,20,201,1096,MEX,LUQUE Juan (MEX),Efrain AMEZCUA
20,21,201,1096,FRA,CAUDRON Raoul (FRA),Edmond DELFOUR
21,22,201,1096,MEX,LUQUE Juan (MEX),Luis PEREZ
22,23,201,1096,FRA,CAUDRON Raoul (FRA),Celestin DELMER
23,24,201,1096,MEX,LUQUE Juan (MEX),Isidoro SOTA
24,25,201,1096,FRA,CAUDRON Raoul (FRA),Andre TASSIN
25,26,201,1096,MEX,LUQUE Juan (MEX),Jesus CASTRO
26,27,201,1096,FRA,CAUDRON Raoul (FRA),Nouma ANDOIRE
27,28,201,1096,MEX,LUQUE Juan (MEX),Felipe OLIVARES
28,29,201,1096,FRA,CAUDRON Raoul (FRA),Jean LAURENT
29,30,201,1096,MEX,LUQUE Juan (MEX),Raimundo RODRIGUEZ
30,31,201,1096,FRA,CAUDRON Raoul (FRA),Emile VEINANTE
31,32,201,1096,MEX,LUQUE Juan (MEX),Roberto GAYON
32,33,201,1096,MEX,LUQUE Juan (MEX),Francisco GARZA GUTIERREZ
33,34,201,1090,USA,MILLAR Bob (USA),Jimmy DOUGLAS
34,35,201,1090,BEL,GOETINCK Hector (BEL),Arnold BADJOU
35,36,201,1090,USA,MILLAR Bob (USA),Tom FLORIE
36,37,201,1090,BEL,GOETINCK Hector (BEL),Jean DE CLERQ
37,38,201,1090,USA,MILLAR Bob (USA),Jimmy GALLAGHER
38,39,201,1090,BEL,GOETINCK Hector (BEL),Jan DIDDENS
39,40,201,1090,USA,MILLAR Bob (USA),Billy GONSALVES
40,41,201,1090,BEL,GOETINCK Hector (BEL),Auguste HELLEMANS
41,42,201,1090,USA,MILLAR Bob (USA),Bart McGHEE
42,43,201,1090,BEL,GOETINCK Hector (BEL),Nikolaas HOYDONCKX
43,44,201,1090,USA,MILLAR Bob (USA),George MOORHOUSE
44,45,201,1090,BEL,GOETINCK Hector (BEL),Jacques MOESCHAL
45,46,201,1090,USA,MILLAR Bob (USA),Bert PATENAUDE
46,47,201,1090,BEL,GOETINCK Hector (BEL),Theodore NOUWENS
47,48,201,1090,USA,MILLAR Bob (USA),Ralph TRACY
48,49,201,1090,BEL,GOETINCK Hector (BEL),Fernand ADAMS
49,50,201,1090,USA,MILLAR Bob (USA),Alexander WOOD
50,51,201,1090,BEL,GOETINCK Hector (BEL),Louis VERSYP
51,52,201,1090,USA,MILLAR Bob (USA),Andrew AULD
52,53,201,1090,BEL,GOETINCK Hector (BEL),Bernard VOORHOOF
53,54,201,1090,USA,MILLAR Bob (USA),Jim BROWN
54,55,201,1090,BEL,GOETINCK Hector (BEL),Pierre BRAINE
55,56,201,1090,USA,MILLAR Bob (USA),Frank VAUGHN
56,57,201,1090,BEL,GOETINCK Hector (BEL),Alexis CHANTRAINE
57,58,201,1090,USA,MILLAR Bob (USA),Mike BOOKIE
58,59,201,1090,BEL,GOETINCK Hector (BEL),Jean DE BIE
59,60,201,1090,USA,MILLAR Bob (USA),Jim GENTLE
60,61,201,1090,BEL,GOETINCK Hector (BEL),Andre SAEYS
